Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
element.pm,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.pm
element.pm,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@61,Promethium,minechem:minechemElement
element.po,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.po
element.po,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@84,Polonium,minechem:minechemElement
element.pr,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.pr
element.pr,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@59,Praseodymium,minechem:minechemElement
element.pt,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.pt
element.pt,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@78,Platinum,minechem:minechemElement
element.pu,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.pu
element.pu,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@94,Plutonium,minechem:minechemElement
element.ra,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ra
element.ra,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@88,Radium,minechem:minechemElement
element.rb,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.rb
element.rb,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@37,Rubidium,minechem:minechemElement
element.re,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.re
element.re,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@75,Rhenium,minechem:minechemElement
element.rf,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@104,Rutherfordium,minechem:minechemElement
element.rf,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.rf
element.rg,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.rg
element.rg,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@111,Roentgenium,minechem:minechemElement
element.rh,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.rh
element.rh,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@45,Rhodium,minechem:minechemElement
element.rn,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.rn
element.rn,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@86,Radon,minechem:minechemElement
element.ru,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ru
element.ru,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@44,Ruthenium,minechem:minechemElement
element.s,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.s
element.s,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@16,Sulfur,minechem:minechemElement
element.sb,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.sb
element.sb,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@51,Antimony,minechem:minechemElement
element.sc,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.sc
element.sc,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@21,Scandium,minechem:minechemElement
element.se,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.se
element.se,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@34,Selenium,minechem:minechemElement
element.sg,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.sg
element.sg,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@106,Seaborgium,minechem:minechemElement
element.si,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.si
element.si,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@14,Silicon,minechem:minechemElement
element.sm,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.sm
element.sm,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@62,Samarium,minechem:minechemElement
element.sn,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.sn
element.sn,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@50,Tin,minechem:minechemElement
element.sr,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.sr
element.sr,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@38,Strontium,minechem:minechemElement
element.ta,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@73,Tantalum,minechem:minechemElement
element.ta,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ta
element.tb,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.tb
element.tb,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@65,Terbium,minechem:minechemElement
element.tc,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.tc
element.tc,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@43,Technetium,minechem:minechemElement
element.te,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.te
element.te,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@52,Tellurium,minechem:minechemElement
element.th,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.th
element.th,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@90,Thorium,minechem:minechemElement
element.ti,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ti
element.ti,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@22,Titanium,minechem:minechemElement
element.tl,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.tl
element.tl,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@81,Thallium,minechem:minechemElement
element.tm,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.tm
element.tm,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@69,Thulium,minechem:minechemElement
element.u,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.u
element.u,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@92,Uranium,minechem:minechemElement
element.uut,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.uut
element.uut,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@113,Ununtrium,minechem:minechemElement
element.v,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.v
element.v,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@23,Vanadium,minechem:minechemElement
element.w,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.w
element.w,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@74,Tungsten,minechem:minechemElement
element.xe,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@54,Xenon,minechem:minechemElement
element.xe,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.xe
element.y,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.y
element.y,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@39,Yttrium,minechem:minechemElement
element.yb,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@70,Ytterbium,minechem:minechemElement
element.yb,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.yb
element.zn,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@30,Zinc,minechem:minechemElement
element.zn,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.zn
element.zr,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.zr
element.zr,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@40,Zirconium,minechem:minechemElement
elementium.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@15,Molten Elementium Bucket,ExtraTiC:extra.bucket
emerald.liquid,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@15,Liquified Emerald Bucket,TConstruct:buckets
emerald.liquid,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@15,Liquified Emerald Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
ender,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@23,Liquified Ender Bucket,TConstruct:buckets
ender,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@23,Liquified Ender Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
ender,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.thermalfoundation.bucket@2,Resonant Ender Bucket,ThermalFoundation:bucket
endergoo,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.bucketEnderGoo@0,Ender Goo Bucket,HardcoreEnderExpansion:bucket_ender_goo
enderium.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@30,Molten Enderium Bucket,TConstruct:buckets
fairy.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@1,Molten Fairy Bucket,ExtraTiC:extra.bucket
fire_water,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.bucketFire_water@0,Fire Water Bucket,EnderIO:bucketFire_water
fluiddeath,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.ItemBucketDeath@0,Bucket of Liquid Death,Thaumcraft:ItemBucketDeath
fluidpure,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.ItemBucketPure@0,Bucket of Purifying Fluid,Thaumcraft:ItemBucketPure
for.honey,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.for.bucketHoney@0,Honey Bucket,Forestry:bucketHoney
for.honey,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.for.waxCapsuleHoney@0,Honey Capsule,Forestry:waxCapsuleHoney
for.honey,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.for.canHoney@0,Honey Can,Forestry:canHoney
for.honey,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.for.refractoryHoney@0,Honey Capsule,Forestry:refractoryHoney
fuel,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.bucketFuel@0,Fuel Bucket,BuildCraft|Energy:bucketFuel
fuel,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.for.waxCapsuleFuel@0,Fuel Capsule,Forestry:waxCapsuleFuel
fuel,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.for.refractoryFuel@0,Fuel Capsule,Forestry:refractoryFuel
fuel,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.for.canFuel@0,Fuel Can,Forestry:canFuel
glass,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.for.bucketGlass@0,Molten Glass Bucket,Forestry:bucketGlass
glass.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@13,Molten Glass Bucket,TConstruct:buckets
glass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@13,Molten Glass Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
glowstone,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.thermalfoundation.bucket@1,Energized Glowstone Bucket,ThermalFoundation:bucket
glue,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@25,Sticky Glue Bucket,TConstruct:buckets
glue,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@25,Sticky Glue Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
gold.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@1,Molten Gold Bucket,TConstruct:buckets
gold.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@1,Molten Gold Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
heavywater,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.HeavyWaterBucket@0,Heavy Water Bucket,Mekanism:HeavyWaterBucket
hootch,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.bucketHootch@0,Hootch Bucket,EnderIO:bucketHootch
ice,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.for.refractoryIce@0,Ice Capsule,Forestry:refractoryIce
ice,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.for.waxCapsuleIce@0,Ice Capsule,Forestry:waxCapsuleIce
ice,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.for.bucketIce@0,Crushed Ice Bucket,Forestry:bucketIce
ice,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.for.canIce@0,Ice Can,Forestry:canIce
invar.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@21,Molten Invar Bucket,TConstruct:buckets
invar.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@21,Molten Invar Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
iron.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@0,Molten Iron Bucket,TConstruct:buckets
iron.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@0,Molten Iron Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
juice,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.for.canJuice@0,Juice Can,Forestry:canJuice
juice,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.for.waxCapsuleJuice@0,Juice Capsule,Forestry:waxCapsuleJuice
juice,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.for.bucketJuice@0,Juice Bucket,Forestry:bucketJuice
juice,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.for.refractoryJuice@0,Juice Capsule,Forestry:refractoryJuice
lava,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.for.refractoryLava@0,Lava Capsule,Forestry:refractoryLava
lava,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.bucketLava@0,Lava Bucket,minecraft:lava_bucket
lava,1000,0xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket.Lava@0,Lava Clay Bucket,IguanaTweaksTConstruct:clayBucketLava
lava,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.for.canLava@0,Lava Can,Forestry:canLava
lead.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@18,Molten Lead Bucket,TConstruct:buckets
lead.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@18,Molten Lead Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
lithium,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.LithiumBucket@0,Lithium Bucket,Mekanism:LithiumBucket
ludicrite.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@18,Molten Ludicrite Bucket,ExtraTiC:extra.bucket
lumium.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@27,Molten Lumium Bucket,TConstruct:buckets
mana,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.thermalfoundation.bucket@5,Primal Mana Bucket,ThermalFoundation:bucket
manasteel.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@13,Molten Manasteel Bucket,ExtraTiC:extra.bucket
manyullyn.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@9,Molten Manyullyn Bucket,TConstruct:buckets
manyullyn.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@9,Molten Manyullyn Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
meat,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.mfr.bucket.meat@0,Meat Bucket,MineFactoryReloaded:bucket.meat
milk,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.mfr.milkbottle@0,Milk Bottle,MineFactoryReloaded:milkbottle
milk,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.mfr.bucket.milk@0,Milk Bucket,minecraft:milk_bucket
mithril.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@29,Molten Mana Infused Metal Bucket,TConstruct:buckets
mobessence,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.mfr.bucket.essence@0,Essence Bucket,MineFactoryReloaded:bucket.essence
molecule.aalc,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@92,Allyl Alcohol,minechem:minechemMolecule
molecule.aalc,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.aalc
molecule.acetate,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@18,Acetate (ion),minechem:minechemMolecule
molecule.acetate,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.acetate
molecule.alinine,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@43,Alanine,minechem:minechemMolecule
molecule.alinine,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.alinine
molecule.almadine,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.almadine
molecule.almadine,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@159,Almandine,minechem:minechemMolecule
molecule.aluminiumhypophosphite,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@155,Aluminium Hypophosphite,minechem:minechemMolecule
molecule.aluminiumhypophosphite,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.aluminiumhypophosphite
molecule.aluminiumoxide,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@68,Aluminium Oxide,minechem:minechemMolecule
molecule.aluminiumoxide,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.aluminiumoxide
molecule.aluminiumphosphate,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@118,Aluminium Phosphate,minechem:minechemMolecule
molecule.aluminiumphosphate,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.aluminiumphosphate
molecule.ammonia,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@84,Ammonia,minechem:minechemMolecule
molecule.ammonia,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.ammonia
molecule.ammonium,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@21,Ammonium (ion),minechem:minechemMolecule
molecule.ammonium,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.ammonium
molecule.amphetamine,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@63,Amphetamine,minechem:minechemMolecule
molecule.amphetamine,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.amphetamine
molecule.arginine,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@75,Arginine,minechem:minechemMolecule
molecule.arginine,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.arginine
molecule.arsenicoxide,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@167,Arsenic Oxide,minechem:minechemMolecule
molecule.arsenicoxide,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.arsenicoxide
molecule.asbestos,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.asbestos
molecule.asbestos,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@147,Asbestos,minechem:minechemMolecule
molecule.asparagine,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.asparagine
molecule.asparagine,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@145,Asparagine,minechem:minechemMolecule
molecule.asparticacid,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@41,Aspartic Acid,minechem:minechemMolecule
molecule.asparticacid,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.asparticacid
molecule.asprin,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@79,Aspirin,minechem:minechemMolecule
molecule.asprin,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.asprin
molecule.augite,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.augite
molecule.augite,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@125,Augite,minechem:minechemMolecule
molecule.beryl,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@61,Beryl,minechem:minechemMolecule
molecule.beryl,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.beryl
molecule.biotite,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@124,Biotite,minechem:minechemMolecule
molecule.biotite,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.biotite
molecule.blackpigment,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@58,Carbon Black,minechem:minechemMolecule
molecule.blackpigment,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.blackpigment
molecule.blueorgodye,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@102,Guaiazulene,minechem:minechemMolecule
molecule.blueorgodye,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.blueorgodye
molecule.buli,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@89,Tert-butyllithium,minechem:minechemMolecule
molecule.buli,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.molecule.molecule.buli
molecule.butene,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemMolecule@29,Butene,minechem:minechemMolecule
